attribute_line_ids/id;id externe;attribute_line_ids/attribute_id/id;attribute_line_ids/value_ids/id
product_11___export__.product_attribute_1101_4b495b10_2;product_11;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39321_0d38f8c2
product_13___export__.product_attribute_1101_4b495b10_3;product_13;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_18___export__.product_attribute_1098_d3402d46_4;product_18;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39151_96f74725
product_27___export__.product_attribute_1101_4b495b10_5;product_27;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39297_a873a236
product_29___export__.product_attribute_1101_4b495b10_6;product_29;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39267_40dcc921
product_51___export__.product_attribute_1099_57dff974_7;product_51;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_54___export__.product_attribute_1101_4b495b10_8;product_54;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_67___export__.product_attribute_1101_4b495b10_9;product_67;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_82___export__.product_attribute_1099_57dff974_10;product_82;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_122___export__.product_attribute_1101_4b495b10_11;product_122;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39321_0d38f8c2
product_167___export__.product_attribute_1096_cccb3879_12;product_167;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39104_f40f003c
product_167___export__.product_attribute_1098_d3402d46_13;product_167;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_167___export__.product_attribute_1099_57dff974_14;product_167;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_167___export__.product_attribute_1101_4b495b10_15;product_167;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_176___export__.product_attribute_1098_d3402d46_16;product_176;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_188___export__.product_attribute_1099_57dff974_17;product_188;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39203_a509b074
product_201___export__.product_attribute_1101_4b495b10_18;product_201;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_202___export__.product_attribute_1101_4b495b10_19;product_202;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_254___export__.product_attribute_1098_d3402d46_20;product_254;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39151_96f74725
product_275___export__.product_attribute_1099_57dff974_21;product_275;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_389___export__.product_attribute_1099_57dff974_22;product_389;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_393___export__.product_attribute_1098_d3402d46_23;product_393;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_394___export__.product_attribute_1098_d3402d46_24;product_394;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_394___export__.product_attribute_1103_f88e3f04_25;product_394;__export__.product_attribute_1103_f88e3f04;__export__.product_attribute_value_39346_10ea1d9c
product_395___export__.product_attribute_1098_d3402d46_26;product_395;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_400___export__.product_attribute_1098_d3402d46_27;product_400;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_400___export__.product_attribute_1103_f88e3f04_28;product_400;__export__.product_attribute_1103_f88e3f04;__export__.product_attribute_value_39346_10ea1d9c
product_409___export__.product_attribute_1101_4b495b10_29;product_409;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39321_0d38f8c2
product_500___export__.product_attribute_1096_cccb3879_30;product_500;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39106_e6ee1b33
product_500___export__.product_attribute_1098_d3402d46_31;product_500;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_500___export__.product_attribute_1099_57dff974_32;product_500;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_500___export__.product_attribute_1101_4b495b10_33;product_500;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_500___export__.product_attribute_1101_4b495b10_34;product_500;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39267_40dcc921
product_502___export__.product_attribute_1096_cccb3879_35;product_502;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39105_54f6593c
product_502___export__.product_attribute_1098_d3402d46_36;product_502;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_502___export__.product_attribute_1099_57dff974_37;product_502;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_502___export__.product_attribute_1101_4b495b10_38;product_502;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_504___export__.product_attribute_1096_cccb3879_39;product_504;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39105_54f6593c
product_504___export__.product_attribute_1098_d3402d46_40;product_504;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_504___export__.product_attribute_1099_57dff974_41;product_504;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_504___export__.product_attribute_1101_4b495b10_42;product_504;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_505___export__.product_attribute_1096_cccb3879_43;product_505;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39105_54f6593c
product_505___export__.product_attribute_1098_d3402d46_44;product_505;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_505___export__.product_attribute_1099_57dff974_45;product_505;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_505___export__.product_attribute_1101_4b495b10_46;product_505;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_508___export__.product_attribute_1096_cccb3879_47;product_508;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39105_54f6593c
product_508___export__.product_attribute_1098_d3402d46_48;product_508;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_508___export__.product_attribute_1099_57dff974_49;product_508;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_508___export__.product_attribute_1101_4b495b10_50;product_508;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_509___export__.product_attribute_1096_cccb3879_51;product_509;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39105_54f6593c
product_509___export__.product_attribute_1098_d3402d46_52;product_509;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_509___export__.product_attribute_1099_57dff974_53;product_509;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_509___export__.product_attribute_1101_4b495b10_54;product_509;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_511___export__.product_attribute_1098_d3402d46_55;product_511;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_512___export__.product_attribute_1098_d3402d46_56;product_512;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_513___export__.product_attribute_1098_d3402d46_57;product_513;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_514___export__.product_attribute_1097_cc3e7c12_58;product_514;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_514___export__.product_attribute_1098_d3402d46_59;product_514;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_514___export__.product_attribute_1101_4b495b10_60;product_514;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39226_65d3693d
product_515___export__.product_attribute_1097_cc3e7c12_61;product_515;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_515___export__.product_attribute_1098_d3402d46_62;product_515;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_515___export__.product_attribute_1101_4b495b10_63;product_515;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39218_87b41887
product_516___export__.product_attribute_1096_cccb3879_64;product_516;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39106_e6ee1b33
product_516___export__.product_attribute_1097_cc3e7c12_65;product_516;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39115_87c81743
product_516___export__.product_attribute_1098_d3402d46_66;product_516;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_516___export__.product_attribute_1099_57dff974_67;product_516;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_516___export__.product_attribute_1101_4b495b10_68;product_516;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39232_70c91b2b
product_571___export__.product_attribute_1097_cc3e7c12_69;product_571;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_571___export__.product_attribute_1097_cc3e7c12_70;product_571;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39112_a11a733b
product_571___export__.product_attribute_1098_d3402d46_71;product_571;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_571___export__.product_attribute_1101_4b495b10_72;product_571;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_572___export__.product_attribute_1097_cc3e7c12_73;product_572;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_572___export__.product_attribute_1097_cc3e7c12_74;product_572;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39112_a11a733b
product_572___export__.product_attribute_1098_d3402d46_75;product_572;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_572___export__.product_attribute_1101_4b495b10_76;product_572;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_573___export__.product_attribute_1097_cc3e7c12_77;product_573;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_573___export__.product_attribute_1097_cc3e7c12_78;product_573;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39112_a11a733b
product_573___export__.product_attribute_1098_d3402d46_79;product_573;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_573___export__.product_attribute_1101_4b495b10_80;product_573;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_573___export__.product_attribute_1101_4b495b10_81;product_573;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39321_0d38f8c2
product_574___export__.product_attribute_1097_cc3e7c12_82;product_574;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_574___export__.product_attribute_1097_cc3e7c12_83;product_574;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39112_a11a733b
product_574___export__.product_attribute_1098_d3402d46_84;product_574;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_574___export__.product_attribute_1101_4b495b10_85;product_574;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_574___export__.product_attribute_1101_4b495b10_86;product_574;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39321_0d38f8c2
product_575___export__.product_attribute_1096_cccb3879_87;product_575;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39106_e6ee1b33
product_575___export__.product_attribute_1097_cc3e7c12_88;product_575;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39113_acab44fe
product_575___export__.product_attribute_1098_d3402d46_89;product_575;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_575___export__.product_attribute_1101_4b495b10_90;product_575;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39225_b7e1df18
product_576___export__.product_attribute_1096_cccb3879_91;product_576;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39106_e6ee1b33
product_576___export__.product_attribute_1098_d3402d46_92;product_576;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_576___export__.product_attribute_1099_57dff974_93;product_576;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39203_a509b074
product_577___export__.product_attribute_1098_d3402d46_94;product_577;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_578___export__.product_attribute_1097_cc3e7c12_95;product_578;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39113_acab44fe
product_578___export__.product_attribute_1098_d3402d46_96;product_578;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_578___export__.product_attribute_1099_57dff974_97;product_578;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39203_a509b074
product_578___export__.product_attribute_1101_4b495b10_98;product_578;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39218_87b41887
product_579___export__.product_attribute_1096_cccb3879_99;product_579;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39105_54f6593c
product_579___export__.product_attribute_1097_cc3e7c12_100;product_579;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
